Frame,Bat Angle,Feedback
729,151.4,Good swing angle!
730,128.6,Good swing angle!
731,130.1,Good swing angle!
732,122.8,Good swing angle!
733,127.7,Good swing angle!
734,134.9,Good swing angle!
735,149.5,Good swing angle!
736,146.0,Good swing angle!
737,145.2,Good swing angle!
738,120.0,Good swing angle!
739,113.0,Increase bat swing angle for more power.
740,79.1,Increase bat swing angle for more power.
741,94.9,Increase bat swing angle for more power.
742,83.4,Increase bat swing angle for more power.
743,94.8,Increase bat swing angle for more power.
744,115.3,Increase bat swing angle for more power.
745,120.6,Good swing angle!
746,134.3,Good swing angle!
747,137.9,Good swing angle!
748,33.8,Increase bat swing angle for more power.
749,34.9,Increase bat swing angle for more power.
750,140.9,Good swing angle!
751,177.7,Swing too wide; reduces control.
752,70.0,Increase bat swing angle for more power.
753,73.2,Increase bat swing angle for more power.
754,67.4,Increase bat swing angle for more power.
755,N/A,No pose detected
756,N/A,No pose detected
757,158.6,Good swing angle!
758,177.9,Swing too wide; reduces control.
759,N/A,No pose detected
760,140.3,Good swing angle!
761,137.0,Good swing angle!
762,140.3,Good swing angle!
763,134.3,Good swing angle!
764,120.3,Good swing angle!
765,114.0,Increase bat swing angle for more power.
766,125.1,Good swing angle!
767,115.1,Increase bat swing angle for more power.
768,125.5,Good swing angle!
769,126.0,Good swing angle!
770,125.3,Good swing angle!
771,100.5,Increase bat swing angle for more power.
772,102.4,Increase bat swing angle for more power.
773,101.4,Increase bat swing angle for more power.
774,104.1,Increase bat swing angle for more power.
775,94.2,Increase bat swing angle for more power.
776,90.6,Increase bat swing angle for more power.
777,100.9,Increase bat swing angle for more power.
778,89.4,Increase bat swing angle for more power.
779,89.6,Increase bat swing angle for more power.
780,N/A,No pose detected
781,N/A,No pose detected
782,N/A,No pose detected
783,N/A,No pose detected
784,N/A,No pose detected
785,N/A,No pose detected
786,N/A,No pose detected
787,N/A,No pose detected
788,N/A,No pose detected
789,N/A,No pose detected
790,N/A,No pose detected
791,N/A,No pose detected
792,N/A,No pose detected
793,N/A,No pose detected
794,N/A,No pose detected
795,N/A,No pose detected
796,N/A,No pose detected
797,N/A,No pose detected
798,N/A,No pose detected
799,N/A,No pose detected
800,N/A,No pose detected
801,N/A,No pose detected
802,N/A,No pose detected
803,N/A,No pose detected
804,N/A,No pose detected
805,N/A,No pose detected
806,N/A,No pose detected
807,N/A,No pose detected
808,N/A,No pose detected
809,N/A,No pose detected
810,N/A,No pose detected
811,N/A,No pose detected
812,N/A,No pose detected
813,N/A,No pose detected
814,N/A,No pose detected
815,N/A,No pose detected
816,N/A,No pose detected
817,N/A,No pose detected
818,N/A,No pose detected
819,N/A,No pose detected
820,N/A,No pose detected
821,N/A,No pose detected
822,N/A,No pose detected
823,N/A,No pose detected
824,N/A,No pose detected
825,N/A,No pose detected
826,N/A,No pose detected
827,N/A,No pose detected
828,N/A,No pose detected
829,N/A,No pose detected
830,N/A,No pose detected
831,N/A,No pose detected
832,N/A,No pose detected
833,N/A,No pose detected
834,N/A,No pose detected
835,N/A,No pose detected
836,N/A,No pose detected
837,N/A,No pose detected
838,N/A,No pose detected
839,N/A,No pose detected
840,N/A,No pose detected
841,N/A,No pose detected
842,N/A,No pose detected
843,N/A,No pose detected
844,N/A,No pose detected
845,N/A,No pose detected
846,N/A,No pose detected
847,N/A,No pose detected
848,N/A,No pose detected
849,N/A,No pose detected
850,N/A,No pose detected
851,N/A,No pose detected
852,N/A,No pose detected
853,N/A,No pose detected
854,N/A,No pose detected
855,N/A,No pose detected
856,N/A,No pose detected
857,N/A,No pose detected
858,N/A,No pose detected
859,N/A,No pose detected
860,N/A,No pose detected
861,N/A,No pose detected
862,N/A,No pose detected
863,N/A,No pose detected
864,N/A,No pose detected
865,N/A,No pose detected
866,N/A,No pose detected
867,N/A,No pose detected
868,N/A,No pose detected
869,N/A,No pose detected
870,N/A,No pose detected
871,N/A,No pose detected
872,N/A,No pose detected
873,N/A,No pose detected
874,N/A,No pose detected
875,N/A,No pose detected
876,N/A,No pose detected
877,N/A,No pose detected
878,N/A,No pose detected
879,N/A,No pose detected
880,N/A,No pose detected
881,N/A,No pose detected
882,N/A,No pose detected
883,N/A,No pose detected
884,N/A,No pose detected
885,N/A,No pose detected
886,N/A,No pose detected
887,N/A,No pose detected
